事件索引	权重	奖励	事件内容	繁体版本
Id	Weight	Award1	Content	
1	1	user.gold:50000	%s驻守矿点时，不忘锻炼自身武艺，苦练之余，获得%s	%s駐守礦點時，不忘鍛煉自身武藝，苦練之餘，獲得%s
2	160	material.19:1	%s巡逻矿点时，在废弃的矿洞中发现一个宝箱，打开意外获得%s	%s巡邏礦點時，在廢棄的礦洞中發現一個寶箱，打開意外獲得%s
3	160	material.26:1	%s击败了前来矿场抢夺的几名强盗，整理战利品时意外发现%s	%s擊敗了前來礦場搶奪的幾名強盜，整理戰利品時意外發現%s
4	20	user.cash:5	%s在驻守期间，抓获小偷一名，获得官府奖励%s	%s在駐守期間，抓獲小偷一名，獲得官府獎勵%s
5	500	user.gold:15000	矿场发生地震，%s在逃跑时意外拾到%s	礦場發生地震，%s在逃跑時意外拾到%s
6	50	material.3307:1	%s救起了一名落入矿坑摔伤的矿工，获赠%s	%s救起了一名落入礦坑摔傷的礦工，獲贈%s
7	8	material.3308:1	%s驻守矿场的工作获得矿工一致好评，被官府奖赏%s	%s駐守礦場的工作獲得礦工一致好評，被官府獎賞%s
8	3	material.3309:1	矿场发生暴乱，%s以一敌百，收复矿场，获得官府奖励%s	礦場發生暴亂，%s以一敵百，收復礦場，獲得官府獎勵%s
9	1	material.82:1	%s人品爆发，走路时在地上捡到%s	%s人品爆發，走路時​​在地上撿到%s
10	20	material.4008:1	%s偶遇异国商人，从其手中低价购得%s	%s偶遇異國商人，從其手中低價購得%s
11	100	material.29:1	%s深入矿坑帮助矿工挖矿，意外挖出古代宝箱，获得%s	%s深入礦坑幫助礦工挖礦，意外挖出古代寶箱，獲得%s
12	200	material.28:1	一头深山猛兽袭击矿场，%s追杀至其老巢，在其巢穴中获得%s	一頭深山猛獸襲擊礦場，%s追殺至其老巢，在其巢穴中獲得%s
